Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Total IDA and IBRD Commitment $US,Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2,
P171409,Middle East and North Africa,Republic of Djibouti,Active,Development Response to Displacement Impacts Project in the Horn of Africa,"The Project Development Objective (PDO) is to improve access to basic social services, expand economic opportunities, and enhance en vironmental management for communities hosting refugees in the target areas of Djibouti, Ethiopia and Uganda. 

The proposed regiona l project will embed the essential features of ensuring citizen participation and engagement in identifying and prioritizing develop mental needs, including socio-economic infrastructure and livelihood opportunities to improve self-reliance of refugee hosting commu nities; improving social cohesion between refugees and refugee hosting communities; increasing citizen voice and role in development  decision making; and eliciting greater demand for social accountability. The operational approach will be Community Driven Developm ent (CDD) and will involve: (i) building and capacitating grassroots institutions; (ii) ensuring the voice of all communities is hea rd in decision making; (iii) strengthening decentralized government administrative functions; and (iv) investing in public service d elivery and social mobilization to enhance social cohesion among beneficiary communities.","IGAD, Ministry of Agriculture and Natural Resources, Agence Djiboutienne de Développement Social, Office of the Prime Minister",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171409,"May 29, 2020",,,IDA,0,,,0,,"Ministry of Finance, Planning and Economic Development, Ministry of Finance and Economic Cooperation",Investment Project Financing,,,"Other Agriculture, Fishing and Forestry",Social Protection,Other Public Administration,,,
P171321,Latin America and Caribbean,Caribbean,Closed,Caribbean Ocean and Aquaculture Sustainability FaciliTy (COAST) Project,The Project Development Objective is to strengthen financial resilience of Caribbean countries through insuring against selected cli mate-related events that impact the fisheries sector.,Caribbean Catastrophe Risk Insurance Facility,No,https://projects.worldbank.org/en/projects-operations/project-detail/P171321,"May 29, 2020","June 30, 2022",,Grants,2400000,,,2400000,"2,400,000","Saint Lucia, Grenada",Investment Project Financing,,Low,Fisheries,,,,,
P168777,Western and Central Africa,Republic of Guinea,Active,Emergency Response and Nafa Program Support Project,The Project Development Objectives are to: develop the building blocks of a national shock-responsive social protection system and i ncrease access to shock-responsive safety nets for poor and vulnerable households.,Agence nationale d'inclusion économique et sociale (ANIES),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168777,"May 29, 2020","June 30, 2024",,IDA,0,,,0,,Republic of Guinea,Investment Project Financing,,Moderate,Social Protection,Public Administration - Social Protection,,,,
P162151,East Asia and Pacific,Republic of the Union of Myanmar,Active,Power System Efficiency and Resilience Project,The project development objectives are to increase the output and efficiency of power generation and improve the resilience of the p ower network in support of the government’s program on universal electricity access.,"Electric Power Generation Enterprise, Department of Power Transmission and System Control (DPTSC), Ministry of Electricity and Energy",No,https://projects.worldbank.org/en/projects-operations/project-detail/P162151,"May 29, 2020","June 30, 2026",,IDA,0,,,0,,Republic of the Union of Myanmar,Investment Project Financing,B,,Non-Renewable Energy Generation,Energy Transmission and Distribution,,,,
P172140,Eastern and Southern Africa,Republic of Zambia,Active,Irrigation Development Support Project - Additional Financing,To provide improved access to irrigation services in selected sites in the Recipient's territory,Ministry of Agriculture,No,https://projects.worldbank.org/en/projects-operations/project-detail/P172140,"May 29, 2020",,,IDA,0,,,0,,Ministry of Finance,Investment Project Financing,,,"Other Water Supply, Sanitation and Waste Management",Irrigation and Drainage,"Public Administration - Agriculture, Fishing & Forestry",,,
P171224,Latin America and Caribbean,Commonwealth of Dominica,Closed,Dominica - Caribbean Regional Air Transport Connectivity Project,The Project Development Objectives (PDO) are to (i) improve operational safety and resilience readiness to natural disasters of air transportation and (ii) strengthen the capacity of key agencies in air transportation operations and airport investment planning in Dominica,Office of the Prime Minister,No,https://projects.worldbank.org/en/projects-operations/project-detail/P171224,"May 28, 2020","October 29, 2020",,IDA,0,,,0,,Commonwealth of Dominica,Investment Project Financing,,Moderate,Aviation,Public Administration - Transportation,,,,
P170907,Latin America and Caribbean,Republic of Haiti,Active,Caribbean Regional Air Transport Connectivity Project - Haiti,The objectives of the Project (PDO) are to: (i) improve operational safety and navigation efficiency of air transport in the Recipie nt’s territory; and (ii) increase the climate and disaster resilience of associated infrastructure at the Recipient’s international airports.,Central Execution Unit of the Ministry of Public Works (UCE),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170907,"May 28, 2020","June 30, 2026",,IDA,0,,,0,,Republic of Haiti,Investment Project Financing,,Moderate,Aviation,Public Administration - Transportation,,,,
P173104,Western and Central Africa,Federal Republic of Nigeria,Active,Additional Financing for MCRP,"To improve access to basic services and  livelihood opportunities for the crisis-affected communities of Adamawa, Borno, and Yobe St ates, and enhance coordination among these States and other Lake Chad countries","State Governments of Borno, Adamawa and Yobe, North East Development Commission (NEDC)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173104,"May 26, 2020",,,IDA,0,,,0,,Federal Ministry of Finance,Investment Project Financing,,,Crops,Sub-National Government,"Agricultural Extension, Research, and Other Support Activities",,,
P165742,East Asia and Pacific,Republic of Indonesia,Active,ID: Strengthening of Social Forestry in Indonesia,The Project Development Objective (PDO) is to improve access to forest land use rights and strengthen community management in select ed priority areas allocated for social forestry.,Ministry of Environment and Forestry (MOEF),No,https://projects.worldbank.org/en/projects-operations/project-detail/P165742,"May 22, 2020","June 30, 2025",,Other,0,,,0,"14,320,000",Republic of Indonesia,Investment Project Financing,,High,"Agricultural markets, commercialization and agri-business",Forestry,"Public Administration - Agriculture, Fishing & Forestry",,,
P169641,Western and Central Africa,Republic of Liberia,Active,Institutional Foundations to Improve Services For Health,"To improve health service delivery to women, children and adolescents in Liberia.",Ministry of Health,No,https://projects.worldbank.org/en/projects-operations/project-detail/P169641,"May 21, 2020","August 31, 2026",,IDA,0,,,0,,Government of Liberia,Investment Project Financing,,Moderate,Health Facilities and Construction,Health,Public Administration - Health,,,
P170513,Eastern and Southern Africa,Republic of Zambia,Active,Zambia Education Enhancement Project,The project development objective is to improve the quality of teaching and learning conditions in targeted primary and secondary sc hools and to increase access to secondary education focusing on girls.,Ministry of General Education,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170513,"May 21, 2020",,,IDA,0,,,0,,Ministry of Finance,Investment Project Financing,,,Secondary Education,Public Administration - Education,Primary Education,,,
P167992,Europe and Central Asia,Republic of Belarus,Active,Belarus Higher Education Modernization Project,The DO is to improve the teaching and learning environment and information on the labor market relevance of higher education.,Ministry of Education,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P167992,"May 20, 2020","December 31, 2025",,IBRD,0,,,0,,Republic of Belarus,Investment Project Financing,B,,Tertiary Education,Public Administration - Education,,,,
P173702,Eastern and Southern Africa,Eastern and Southern Africa,Active,Emergency Locust Response Program,To respond to the threat posed by the locust outbreak and to strengthen systems for preparedness.,"Ethiopia Food Security Coordination Directorate, Ministry of Agriculture, Natural Resources & Food, Kenya Ministry of Agriculture, Livestock, Fisheries and Cooperation, Djibouti Ministry of Agriculture, Water, Livestock and Fish Resources",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P173702,"May 20, 2020","December 31, 2026",,IDA,195000000,,,195000000,,"Republic of Kenya, Republic of Djibouti, Federal Democratic Republic of Ethiopia",Investment Project Financing,,High,"Public Administration - Agriculture, Fishing & Forestry",Livestock,Crops,,,
P169082,Europe and Central Asia,Georgia,Active,Additional Financing for the Second Regional and Municipal Infrastructure Development Project,To improve access to quality municipal services and infrastructure,Georgia Municipal Development Fund,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169082,"May 18, 2020",,,IBRD,0,,,0,,Ministry of Finance,Investment Project Financing,,,Sub-National Government,,,,,
P168590,South Asia,Republic of India,Active,Tamil Nadu Housing and Habitat Development Project,To strengthen the housing sector institutions of Tamil Nadu for increased and sustainable access to affordable housing.,"Chennai Metropolitan Development Authority (CMDA), Tamil Nadu Slum Clearence Board (TNSCB), Tamil Nadu Infrastructure Fund Management Corporation Limited",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168590,"May 18, 2020","June 30, 2025",,Other,0,,,0,,India,Investment Project Financing,H,,Housing Construction,,,,,
P166865,South Asia,Democratic Socialist Republic of Sri Lan,Active,Sri Lanka Integrated Watershed and Water Resources Management Project,The Project Development Objective (PDO) is to improve watershed and water resources planning and enhance functionality of water reso urces infrastructure.,Ministry of Irrigation,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166865,"May 18, 2020","October 31, 2025",,Other,0,,,0,,Democratic Socialist Republic of Sri Lanka,Investment Project Financing,B,,"Other Water Supply, Sanitation and Waste Management","Public Administration - Water, Sanitation and Waste Management",Irrigation and Drainage,,,
P172381,East Asia and Pacific,Republic of Indonesia,Active,Additional Financing for Indonesia Social Assistance Reform Program,"To support the Conditional Cash Transfer Program coverage expansion, strengthen the Social Registry and delivery systems of the Cond itional Cash Transfer Program and the Social and Economic Empowerment Program, and improve the coordination between these programs a nd other complementary social programs",Ministry of Social Affairs,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172381,"May 15, 2020",,,Other,0,,,0,,"Republic of Indonesia, Ministry of Development and Planning (Bappenas)",Program-for-Results Financing,,,Central Government (Central Agencies),Public Administration - Social Protection,Social Protection,,,
P174046,Eastern and Southern Africa,Republic of Rwanda,Active,Additional Financing to Rwanda Quality Basic Education for Human Capital Development Project,The PDO is to improve teacher competency and student retention and learning in basic education.,"Rwanda Education Board (REB), Ministry of Education (MINEDUC), Republic of Rwanda",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174046,"May 14, 2020",,,Grants,9720000,,,9720000,"9,720,000","Ministry of Finance and Economic Planning (MINECOFIN), Republic of Rwanda",Investment Project Financing,,,Public Administration - Education,,,,,
P173912,Middle East and North Africa,Arab Republic of Egypt,Active,Egypt COVID-19 Emergency Response,"The Project Development Objective (PDO) is to strengthen the prevention, detection and response to the COVID-19 pandemic in Egypt.",Ministry of Health and Population,No,https://projects.worldbank.org/en/projects-operations/project-detail/P173912,"May 14, 2020","June 30, 2023",,Other,469000000,,,469000000,,Arab Republic of Egypt,Investment Project Financing,,Substantial,Health Facilities and Construction,Health,Public Administration - Health,,,
P171054,South Asia,South Asia,Active,Climate Adaptation and Resilience for South Asia,To contribute to an enabling environment for climate-resilient policies and investments in select sectors and countries in South Asi a.,"Asian Disaster Preparedness Center (ADPC), The Regional Integrated Multi-Hazard Early Warning System for Africa and Asia (RIMES)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P171054,"May 12, 2020","August 5, 2025",,IDA,0,,,0,"3,500,000","Asian Disaster Preparedness Center (ADPC), The Regional Integrated Multi-Hazard Early Warning System for Africa and Asia (RIMES)",Investment Project Financing,,Moderate,Other Public Administration,Sub-National Government,,,,
P164967,Western and Central Africa,Republic of Senegal,Active,AGRICULTURE AND LIVESTOCK COMPETITIVENESS PROGRAM FOR RESULTS,"The Program Development Objective is to enhance productivity and market access of priority commodity value chains and livestock, in the Extended Groundnut Basin and Agro-pastoral Areas.","Ministry of Agriculture and Rural Equipment, Ministry of Livestock and Animal Production",No,https://projects.worldbank.org/en/projects-operations/project-detail/P164967,"May 12, 2020","December 31, 2025",,Other,230000000,,,230000000,"20,000,000",Ministry of Finance and Budget,Program-for-Results Financing,,,"Public Administration - Agriculture, Fishing & Forestry","Agricultural Extension, Research, and Other Support Activities","Other Industry, Trade and Services",,,
P173813,Western and Central Africa,Republic of Cote d'Ivoire,Active,Cote d'Ivoire COVID-19 Strategic Preparedness and  Response Project (SPRP),"To prevent, detect, and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Co te d'Ivoire.",Ministere de la Sante et de l'Hygiene Publique (MSHP),No,https://projects.worldbank.org/en/projects-operations/project-detail/P173813,"May 2, 2020","June 30, 2024",,IDA,135000000,,,135000000,,Government of Côte d'Ivoire,Investment Project Financing,,Substantial,Health,Public Administration - Health,Health Facilities and Construction,,,
P173916,Europe and Central Asia,"Macedonia, Republic of North",Closed,North Macedonia Emergency COVID-19 Response Project,"To prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Nor th Macedonia.","Ministry of Health, Ministry of Labor and Social Policy",No,https://projects.worldbank.org/en/projects-operations/project-detail/P173916,"April 30, 2020","December 31, 2022",,IBRD,100000000,,,100000000,,Republic of North Macedonia,Investment Project Financing,,Substantial,Social Protection,Health Facilities and Construction,Health,,,
P169168,Europe and Central Asia,Republic of Tajikistan,Active,Early Childhood Development to Build Tajikistan’s Human Capital Project,To increase utilization of a basic package of health and preschool education services for 0 to 6 year old children.,Ministry of Finance,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169168,"April 30, 2020","November 30, 2026",,Grants,0,,,0,"3,000,000",Republic of Tajikistan,Investment Project Financing,,Substantial,Public Administration - Education,Health Facilities and Construction,Early Childhood Education,,,
P170001,Europe and Central Asia,Republic of Armenia,Closed,EU4Innovation STEM Project,To increase the capacity of the National Center for Education Development and Innovation (NCEDI) to formulate and manage key policie s affecting general education quality and improve the learning environment for STEM education in selected regions.,"Ministry of Education, Science, Culture and Sport",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P170001,"April 30, 2020","December 31, 2022",,Grants,4627872,,,4627872,,Ministry of Finance,Investment Project Financing,,Low,Public Administration - Education,,,,,
P164961,Eastern and Southern Africa,Republic of Malawi,Active,Malawi Governance to Enable Service Delivery Project,"To strengthen Local Authorities’ institutional performance, responsiveness to citizens and management of resources for service deliv ery.",National Local Government Finance Committee,No,https://projects.worldbank.org/en/projects-operations/project-detail/P164961,"April 30, 2020","September 30, 2025",,IDA,0,,,0,,Republic of Malawi,Investment Project Financing,B,,Central Government (Central Agencies),Sub-National Government,,,,
P169594,Western and Central Africa,Western and Central Africa,Active,West Africa Unique Identification for Regional Integration and Inclusion - Phase 2,"Increase the number of persons in the Togolese Republic, Republic of Benin, Burkina Faso and Republic of Niger, who have government- recognized proof of unique identity that facilitates their access to services.","TG: Ministère des Postes, de l'Economie Numérique et des Innovations, BF: Ministry of ICT, BJ: Agence Nationale d’Identification des Personnes (ANIP), NE: Ministry of Interior",No,https://projects.worldbank.org/en/projects-operations/project-detail/P169594,"April 28, 2020","July 30, 2026",,IDA,0,,,0,,"Republic of Benin, Burkina Faso, Republic of Niger, Togolese Republic",Investment Project Financing,,Substantial,Social Protection,Public Administration - Social Protection,,,,
P173858,Western and Central Africa,Burkina Faso,Active,Burkina Faso COVID-19 Preparedness and Response Project,"To prevent, detect and respond to the threat posed by COVID-19, and strengthen national systems for public health preparedness in Bu rkina Faso.",Ministry of Health,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173858,"April 28, 2020","June 29, 2024",,IDA,0,,,0,,Burkina Faso,Investment Project Financing,,Substantial,Social Protection,Health Facilities and Construction,Health,,,
P173126,East Asia and Pacific,Mongolia,Active,Mongolia Third Sustainable Livelihoods Project - Additional Financing,The PDO is to improve governance and community participation for the planning and delivery of priority investments in rural areas of Mongolia.,Ministry of Finance,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P173126,"April 24, 2020",,,IDA,0,,,0,,Ministry of Finance,Investment Project Financing,,,Other Public Administration,Central Government (Central Agencies),Social Protection,,,
P170676,East Asia and Pacific,Mongolia,Active,Ulaanbaatar Heating Sector Improvement Project,The Project Development Objective is to expand capacity and improve efficiency of the district heating network in selected project a reas.,Ministry of Energy,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P170676,"April 24, 2020","December 31, 2025",,IDA,0,,,0,,Mongolia,Investment Project Financing,,Moderate,Public Administration - Energy and Extractives,,,,,
P170466,Eastern and Southern Africa,Republic of Uganda,Active,Uganda Investing in Forests and Protected Areas for Climate-Smart Development Project,To improve sustainable management of forests and protected areas and increase benefits to communities from forests in target landsca pes,"Uganda Wildlife Authority, Ministry of Water and Environment, National Forestry Authority",No,https://projects.worldbank.org/en/projects-operations/project-detail/P170466,"April 23, 2020","June 30, 2026",,Other,0,,,0,,Republic of Uganda,Investment Project Financing,,Moderate,Forestry,"Public Administration - Agriculture, Fishing & Forestry",Tourism,,,
P169140,Latin America and Caribbean,Federative Republic of Brazil,Active,São Paulo Aricanduva Bus Rapid Transit Corridor,The Project Development Objectives are to improve mobility and accessibility to jobs for socially vulnerable public transport users in the influence area of the Aricanduva Corridor and enhance operational efficiency of the São Paulo city bus system.,"São Paulo Municipal Secretariat of Mobility and Transport, São Paulo Municipal Secretariat of Urban Infrastructure and Works",No,https://projects.worldbank.org/en/projects-operations/project-detail/P169140,"April 22, 2020","June 30, 2026",,Other,0,,,0,,Municipality of São Paulo,Investment Project Financing,,Moderate,Urban Transport,Rural and Inter-Urban Roads,Public Administration - Transportation,,,
P173877,East Asia and Pacific,Republic of the Philippines,Active,Philippines COVID-19 Emergency Response Project,"To strengthen the Philippines' capacity to prevent, detect and respond to the threat posed by COVID-19 and strengthen national syste ms for public health preparedness",Department of Health,No,https://projects.worldbank.org/en/projects-operations/project-detail/P173877,"April 22, 2020","December 29, 2023",,IBRD,900000000,,,900000000,,Republic of the Philippines,Investment Project Financing,,Substantial,Health Facilities and Construction,Public Administration - Health,,,,
P166222,East Asia and Pacific,The Independent State of Papua New Guine,Active,PNG Agriculture Commercialization and Diversification Project,To facilitate the development of competitive and diversified agriculture value chains for selected commodities in targeted provinces .,"Cocoa Board, Department of Agriculture and Livestock, Coffee Industry Corporation",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166222,"April 22, 2020","December 31, 2025",,IDA,0,,,0,,Independent State of Papua New Guinea,Investment Project Financing,B,,"Public Administration - Agriculture, Fishing & Forestry","Agricultural markets, commercialization and agri-business","Agricultural Extension, Research, and Other Support Activities",,,
P173883,Eastern and Southern Africa,Kingdom of Eswatini,Active,Eswatini COVID-19 Emergency Response Project,"The Program Development Objective is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Eswatini.",Ministry of Health,No,https://projects.worldbank.org/en/projects-operations/project-detail/P173883,"April 20, 2020","March 31, 2024",,IBRD,6000000,,,6000000,,Kingdom of Eswatini,Investment Project Financing,,Substantial,Public Administration - Health,Health,Health Facilities and Construction,,,
